Sno,Candidate,Constituency,Party,Criminal Case,Education,Total Assets,Liabilities,Criminal_Cases_Count,Has_Criminal_Cases,Assets_Numeric,Liabilities_Numeric,Education_Clean,Party_Type
6428,Sachin Shahu Maske,SOLAPUR (SC),IND,0,Graduate,"Rs 51,000  ~ 51 Thou+",Rs 0  ~,0,0,51000.0,0.0,Graduate,Independent
6429,Sachin Shankar Agawane,BARAMATI,IND,0,Graduate,,,0,0,,,Graduate,Independent
6430,Sachin Subhash Mahajan,SATARA,IND,0,10th Pass,"Rs 29,000  ~ 29 Thou+",Rs 0  ~,0,0,29000.0,0.0,10th Pass,Independent
6431,Sachinraje Dattatreya Deore,NASHIK,IND,0,Post Graduate,"Rs 66,77,000  ~ 66 Lacs+","Rs 1,90,000  ~ 1 Lacs+",0,0,6677000.0,190000.0,Post Graduate,Independent
6432,Sachithanantham R,DINDIGUL,CPI(M),9,Graduate,,,9,1,,,Graduate,National
6433,Sadal Prasad,BANSGAON (SC),INC,0,Post Graduate,"Rs 1,18,19,450  ~ 1 Crore+",Rs 0  ~,0,0,11819450.0,0.0,Post Graduate,National
6434,Sadananda Mandal,BISHNUPUR (SC),SUCI(C),0,12th Pass,"Rs 17,62,097  ~ 17 Lacs+","Rs 6,39,595  ~ 6 Lacs+",0,0,1762097.0,639595.0,12th Pass,Regional
6435,Sadananda Ranbida,SAMBALPUR,BSP,0,10th Pass,,,0,0,,,10th Pass,National
6436,Saddam Hussain,SALEMPUR,IND,0,Graduate,"Rs 4,63,000  ~ 4 Lacs+",Rs 0  ~,0,0,463000.0,0.0,Graduate,Independent
6437,Sadek Ibrahim Shaikh,BEED,IND,0,8th Pass,"Rs 2,81,600  ~ 2 Lacs+",Rs 0  ~,0,0,281600.0,0.0,8th Pass,Independent
6438,Sadhan Ghosh,BARASAT,SUCI(C),0,12th Pass,,,0,0,,,12th Pass,Regional
6439,Sadhna Singh,MORADABAD,IND,0,Graduate,"Rs 16,14,10,582  ~ 16 Crore+","Rs 6,00,000  ~ 6 Lacs+",0,0,161410582.0,600000.0,Graduate,Independent
6440,Sadhu Charan Paul,JAMSHEDPUR,IND,0,Post Graduate,"Rs 1,94,03,880  ~ 1 Crore+",Rs 0  ~,0,0,19403880.0,0.0,Post Graduate,Independent
6441,Saeed Ahamad,MANDSOUR,IND,0,5th Pass,,,0,0,,,5th Pass,Independent
6442,Saeed Choudhary,MUMBAI SOUTH - CENTRAL,Social Democratic Party Of India,5,8th Pass,"Rs 36,22,311  ~ 36 Lacs+","Rs 31,249  ~ 31 Thou+",5,1,3622311.0,31249.0,8th Pass,Regional
6443,"Safi Ulla ""Dbbu Bhai""",SATNA,IND,0,Graduate,"Rs 2,55,000  ~ 2 Lacs+",Rs 0  ~,0,0,255000.0,0.0,Graduate,Independent
6444,Safikur Rahman Hazari,KARIMGANJ,IND,0,8th Pass,,,0,0,,,8th Pass,Independent
6445,Sagar Eshwar Khandre,BIDAR,INC,0,Graduate Professional,"Rs 13,43,73,930  ~ 13 Crore+","Rs 1,50,00,000  ~ 1 Crore+",0,0,134373930.0,15000000.0,Graduate,National
6446,Sagar Prabhakar Patil,RAVER,IND,1,Graduate,"Rs 47,76,897  ~ 47 Lacs+","Rs 3,00,000  ~ 3 Lacs+",1,1,4776897.0,300000.0,Graduate,Independent
6447,Sagar Sambhaji Pore,PUNE,IND,0,Graduate,,,0,0,,,Graduate,Independent
6448,Sagara Basappa Kumbar,BAGALKOT,Karnataka Rashtra Samithi,1,Others,"Rs 7,08,000  ~ 7 Lacs+","Rs 1,00,000  ~ 1 Lacs+",1,1,708000.0,100000.0,Other,Regional
6449,Sahabuddin Mallik,MURSHIDABAD,IND,0,Graduate,"Rs 32,59,000  ~ 32 Lacs+",Rs 0  ~,0,0,3259000.0,0.0,Graduate,Independent
6450,Sahabul Islam Choudhury,KARIMGANJ,All India United Democratic Front,2,Post Graduate,,,2,1,,,Post Graduate,Regional
6451,Sahadat Ansari,KODARMA,IND,0,10th Pass,"Rs 22,24,000  ~ 22 Lacs+","Rs 25,000  ~ 25 Thou+",0,0,2224000.0,25000.0,10th Pass,Independent
6452,Sahariar Mullick (Bapi),SREERAMPUR,All India Secular Front,0,Graduate,"Rs 1,88,27,500  ~ 1 Crore+","Rs 2,00,000  ~ 2 Lacs+",0,0,18827500.0,200000.0,Graduate,Regional
6453,Saheb Chowdhury,GHATAL,IND,0,8th Pass,,,0,0,,,8th Pass,Independent
6454,Saheba Juanga,KEONJHAR (ST),Manas Lokshakti Dal,0,8th Pass,"Rs 40,850  ~ 40 Thou+",Rs 0  ~,0,0,40850.0,0.0,8th Pass,Regional
6455,Sahebrao Bhiva Gajbhare,NANDED,IND,0,Post Graduate,"Rs 3,21,756  ~ 3 Lacs+",Rs 0  ~,0,0,321756.0,0.0,Post Graduate,Independent
6456,Sahel Ahmed,KARIMGANJ,IND,0,12th Pass,,,0,0,,,12th Pass,Independent
6457,Sahi Ram,SOUTH DELHI,AAP,2,10th Pass,"Rs 1,37,80,459  ~ 1 Crore+","Rs 3,20,469  ~ 3 Lacs+",2,1,13780459.0,320469.0,10th Pass,Regional
6458,Sahib Singh,AMRITSAR,IND,0,8th Pass,"Rs 15,99,600  ~ 15 Lacs+",Rs 0  ~,0,0,1599600.0,0.0,8th Pass,Independent
6459,Sahil Balchand Turkar,NAGPUR,IND,0,10th Pass,,,0,0,,,10th Pass,Independent
6460,Sahil Monga,FIROZPUR,IND,0,Others,"Rs 80,41,095  ~ 80 Lacs+","Rs 31,31,394  ~ 31 Lacs+",0,0,8041095.0,3131394.0,Other,Independent
6461,Sahithi Dasari,CHEVELLA,IND,0,Post Graduate,"Rs 3,83,000  ~ 3 Lacs+",Rs 0  ~,0,0,383000.0,0.0,Post Graduate,Independent
6462,Saidi Reddy Shanampudi,NALGONDA,BJP,6,Graduate,,,6,1,,,Graduate,National
6463,Saif Khan,UNNAO,Parcham Party of India,0,8th Pass,"Rs 8,80,000  ~ 8 Lacs+",Rs 0  ~,0,0,880000.0,0.0,8th Pass,Regional
6464,Saifan Chand Pathan,BHIWANDI,Bhartiya Manavta Party,0,Graduate,"Rs 1,76,000  ~ 1 Lacs+",Rs 0  ~,0,0,176000.0,0.0,Graduate,Regional
6465,Saifuddin Mondal,BARASAT,IND,0,12th Pass,,,0,0,,,12th Pass,Independent
6466,Saiful Islam Choudhury,NAGAON,Asom Jana Morcha,0,Graduate Professional,"Rs 1,45,23,552  ~ 1 Crore+","Rs 4,72,270  ~ 4 Lacs+",0,0,14523552.0,472270.0,Graduate,Regional
6467,Sailen Chandra Malakar,KAZIRANGA,Bharatiya Gana Parishad,1,12th Pass,"Rs 1,67,30,000  ~ 1 Crore+","Rs 84,50,000  ~ 84 Lacs+",1,1,16730000.0,8450000.0,12th Pass,Regional
6468,Saiqua Nawaz Azmat,SITAMARHI,IND,0,Graduate,,,0,0,,,Graduate,Independent
6469,Saira Shah Halim,KOLKATA DAKSHIN,CPI(M),0,Post Graduate,"Rs 4,41,96,815  ~ 4 Crore+",Rs 0  ~,0,0,44196815.0,0.0,Post Graduate,National
6470,Saiyad Kadari Mohammad Sabir Anvar Husain,KHEDA,Bhartiya Jan Nayak Party,0,5th Pass,"Rs 90,000  ~ 90 Thou+",Rs 0  ~,0,0,90000.0,0.0,5th Pass,Regional
6471,Saiyyad Imamsab Jakali,BAGALKOT,Tipu Sultan Party,0,10th Pass,,,0,0,,,10th Pass,Regional
6472,Saiyyad Sarfaraz Gandhi,UNNAO,IND,0,Graduate,"Rs 10,57,981  ~ 10 Lacs+","Rs 1,75,071  ~ 1 Lacs+",0,0,1057981.0,175071.0,Graduate,Independent
6473,Sajad Ahmad Dar,ANANTNAG-RAJOURI,IND,1,12th Pass,"Rs 4,52,000  ~ 4 Lacs+",Rs 0  ~,1,1,452000.0,0.0,12th Pass,Independent
6474,Sajad Ahmad Dar,SRINAGAR,IND,1,12th Pass,,,1,1,,,12th Pass,Independent
6475,Sajad Gani Lone,BARAMULLA,Jammu & Kashmir People Conference,0,Graduate,"Rs 20,60,66,730  ~ 20 Crore+","Rs 6,94,26,484  ~ 6 Crore+",0,0,206066730.0,69426484.0,Graduate,Regional
6476,Sajahan Biswas,JANGIPUR,All India Secular Front,0,8th Pass,"Rs 16,60,65,725  ~ 16 Crore+","Rs 3,64,34,766  ~ 3 Crore+",0,0,166065725.0,36434766.0,8th Pass,Regional
6477,Sajal Kumar De,BARDHAMAN PURBA (SC),CPI(ML)(L),0,Graduate,,,0,0,,,Graduate,Regional
6478,Sajda Ahmed,ULUBERIA,AITC,0,Graduate,"Rs 4,40,42,025  ~ 4 Crore+",Rs 0  ~,0,0,44042025.0,0.0,Graduate,Regional
6479,Saji Alias Shaji,IDUKKI,Viduthalai Chiruthaigal Katchi,2,8th Pass,"Rs 70,61,172  ~ 70 Lacs+","Rs 10,00,000  ~ 10 Lacs+",2,1,7061172.0,1000000.0,8th Pass,Regional
6480,Sajid Yakub Munshi,BHARUCH,IND,0,12th Pass,,,0,0,,,12th Pass,Independent
6481,Sakaldeo Das,JAMUI (SC),BSP,0,12th Pass,"Rs 38,54,100  ~ 38 Lacs+",Rs 0  ~,0,0,3854100.0,0.0,12th Pass,National
6482,Sakasen,DHAURAHRA,Sardar Patel Siddhant Party,0,Graduate,"Rs 1,65,500  ~ 1 Lacs+",Rs 0  ~,0,0,165500.0,0.0,Graduate,Regional
6483,Saket Misra,SHRAWASTI,BJP,0,Post Graduate,,,0,0,,,Post Graduate,National
6484,Sakhineti Anantha Raju,VIZIANAGARAM,Pyramid Party of India,0,5th Pass,"Rs 44,35,500  ~ 44 Lacs+","Rs 5,23,000  ~ 5 Lacs+",0,0,4435500.0,523000.0,5th Pass,Regional
6485,Sakil Latif Khan,DAMAN & DIU,IND,1,5th Pass,"Rs 4,37,680  ~ 4 Lacs+","Rs 1,50,000  ~ 1 Lacs+",1,1,437680.0,150000.0,5th Pass,Independent
6486,Sakthivel,TIRUCHIRAPPALLI,Anna Puratchi Thalaivar Amma Dravida Munnetra Kazhagam,0,10th Pass,,,0,0,,,10th Pass,Regional
6487,Sakthivel A,ARANI,Thakkam Katchi,0,Post Graduate,"Rs 53,53,000  ~ 53 Lacs+","Rs 8,23,209  ~ 8 Lacs+",0,0,5353000.0,823209.0,Post Graduate,Regional
6488,Sakthivel S,NAMAKKAL,IND,0,Graduate Professional,"Rs 15,000  ~ 15 Thou+",Rs 0  ~,0,0,15000.0,0.0,Graduate,Independent
6489,Sakthivel. N,KARUR,IND,0,Graduate Professional,,,0,0,,,Graduate,Independent
6490,Sakthivel. R,KARUR,IND,0,10th Pass,"Rs 54,56,120  ~ 54 Lacs+",Rs 0  ~,0,0,5456120.0,0.0,10th Pass,Independent
6491,Salamat Mondal,ANDAMAN AND NICOBAR ISLANDS,SUCI(C),0,Literate,"Rs 1,79,62,500  ~ 1 Crore+","Rs 45,00,000  ~ 45 Lacs+",0,0,17962500.0,4500000.0,Below 5th,Regional
6492,Salauddin Khan Pathan,BEED,IND,0,Literate,,,0,0,,,Below 5th,Independent
6493,Saleem,RAMANATHAPURAM,IND,0,12th Pass,"Rs 79,77,069  ~ 79 Lacs+","Rs 47,66,738  ~ 47 Lacs+",0,0,7977069.0,4766738.0,12th Pass,Independent
6494,Saleem. S,DAVANAGERE,IND,0,10th Pass,"Rs 4,00,000  ~ 4 Lacs+",Rs 0  ~,0,0,400000.0,0.0,10th Pass,Independent
6495,Saleh Ahmed Mazumdar,KAZIRANGA,Republican Party of India (Athawale),0,Graduate,,,0,0,,,Graduate,Regional
6496,Saleng A Sangma,TURA (ST),INC,0,Post Graduate,"Rs 4,00,49,264  ~ 4 Crore+","Rs 57,08,458  ~ 57 Lacs+",0,0,40049264.0,5708458.0,Post Graduate,National
6497,Salik Ram Jogi,BILASPUR,IND,0,Post Graduate,"Rs 52,00,000  ~ 52 Lacs+",Rs 0  ~,0,0,5200000.0,0.0,Post Graduate,Independent
6498,Salim Ahmed,KAZIRANGA,Asom Jana Morcha,0,8th Pass,,,0,0,,,8th Pass,Regional
6499,Salim Allabaksha Sayyad,BEED,IND,0,10th Pass,"Rs 6,50,000  ~ 6 Lacs+",Rs 0  ~,0,0,650000.0,0.0,10th Pass,Independent
6500,Salim Baba Sayyad,SHIRUR,IND,0,8th Pass,"Rs 14,075  ~ 14 Thou+",Rs 0  ~,0,0,14075.0,0.0,8th Pass,Independent
6501,Salim Nurmuhamad Bagwan,KOLHAPUR,IND,0,5th Pass,,,0,0,,,5th Pass,Independent
6502,Salima Muktar Vasani,THANE,Bahujan Maha Party,0,10th Pass,"Rs 61,41,000  ~ 61 Lacs+",Rs 0  ~,0,0,6141000.0,0.0,10th Pass,Regional
6503,Salimuddin Khaliluddin Shaikh,KALYAN,IND,0,Illiterate,"Rs 7,75,315  ~ 7 Lacs+",Rs 0  ~,0,0,775315.0,0.0,Illiterate,Independent
6504,Salopantula Raghavendra Rao,RAJAHMUNDRY,IND,0,Post Graduate,,,0,0,,,Post Graduate,Independent
6505,Salveru Ramesh,HYDERABAD,Indian Praja Congress,0,Others,"Rs 83,95,500  ~ 83 Lacs+","Rs 20,00,000  ~ 20 Lacs+",0,0,8395500.0,2000000.0,Other,Regional
6506,Samad Choudhury,GUWAHATI,Bharatiya Gana Parishad,0,8th Pass,"Rs 45,48,800  ~ 45 Lacs+","Rs 6,06,000  ~ 6 Lacs+",0,0,4548800.0,606000.0,8th Pass,Regional
6507,Samar Kumar Biswas,BANKURA,Kisan Mazdoor Sangharsh Party,0,Post Graduate,,,0,0,,,Post Graduate,Regional
6508,Samar Shah Singh Gond,SHAHDOL (ST),CPI,0,Post Graduate,"Rs 18,47,200  ~ 18 Lacs+","Rs 70,000  ~ 70 Thou+",0,0,1847200.0,70000.0,Post Graduate,National
6509,Samaran,CHENNAI CENTRAL,BSP,0,Graduate Professional,"Rs 10,31,000  ~ 10 Lacs+",Rs 0  ~,0,0,1031000.0,0.0,Graduate,National
6510,Samareddy Balakrishna,ARAKU (ST),IND,0,Post Graduate,,,0,0,,,Post Graduate,Independent
6511,Samarendra Nath Mondal,JAYNAGAR (SC),Revolutionary Socialist Party,2,10th Pass,"Rs 70,65,334  ~ 70 Lacs+","Rs 2,83,348  ~ 2 Lacs+",2,1,7065334.0,283348.0,10th Pass,Regional
6512,Samaresh Biswas,BANGAON (SC),Party for Democratic Socialism,0,10th Pass,"Rs 81,93,512  ~ 81 Lacs+","Rs 41,500  ~ 41 Thou+",0,0,8193512.0,41500.0,10th Pass,Regional
6513,Samay Singh,GURGAON,IND,0,Graduate,,,0,0,,,Graduate,Independent
6514,Sambhaji Jagannath Jadhav,KALYAN,Sanyukt Bharat Paksh,0,12th Pass,"Rs 28,48,931  ~ 28 Lacs+","Rs 2,49,736  ~ 2 Lacs+",0,0,2848931.0,249736.0,12th Pass,Regional
6515,Sambhu Chettri,SIKKIM,IND,0,5th Pass,"Rs 9,04,925  ~ 9 Lacs+",Rs 0  ~,0,0,904925.0,0.0,5th Pass,Independent
6516,Sambit Patra,PURI,BJP,1,Post Graduate,,,1,1,,,Post Graduate,National
6517,Sameer Mirza,CHANDNI CHOWK,Rashtriya Republican Party,0,12th Pass,"Rs 1,65,000  ~ 1 Lacs+",Rs 0  ~,0,0,165000.0,0.0,12th Pass,Regional
6518,Sameer More,MUMBAI NORTH - WEST,IND,0,Graduate,"Rs 37,35,213  ~ 37 Lacs+","Rs 21,78,150  ~ 21 Lacs+",0,0,3735213.0,2178150.0,Graduate,Independent
6519,Sameer Singh,MIRZAPUR,All India Forward Bloc,1,Graduate Professional,,,1,1,,,Graduate,Regional
6520,Sameersingh Rameshchandra Salvi,OSMANABAD,IND,0,10th Pass,"Rs 1,17,85,891  ~ 1 Crore+","Rs 8,25,295  ~ 8 Lacs+",0,0,11785891.0,825295.0,10th Pass,Independent
6521,Samej Uddin,BARPETA,Bodoland Peoples Front,0,Graduate,"Rs 31,06,668  ~ 31 Lacs+","Rs 1,13,943  ~ 1 Lacs+",0,0,3106668.0,113943.0,Graduate,Regional
6522,Samim Ali Mollick,HOOGHLY,IND,0,Graduate,,,0,0,,,Graduate,Independent
6523,Samir Ganeshrao Dudhgaonkar,PARBHANI,IND,1,Post Graduate,"Rs 2,39,62,903  ~ 2 Crore+","Rs 37,54,156  ~ 37 Lacs+",1,1,23962903.0,3754156.0,Post Graduate,Independent
6524,Samir Kumar Mohanty,JAMSHEDPUR,JMM,2,Graduate,"Rs 47,18,863  ~ 47 Lacs+","Rs 11,44,350  ~ 11 Lacs+",2,1,4718863.0,1144350.0,Graduate,Regional
6525,Samir Oraon,LOHARDAGA (ST),BJP,1,12th Pass,,,1,1,,,12th Pass,National
6526,Samiran Das,BAHARAMPUR,IND,0,8th Pass,"Rs 40,200  ~ 40 Thou+",Rs 0  ~,0,0,40200.0,0.0,8th Pass,Independent
6527,Samiruddin,JANGIPUR,SUCI(C),0,Graduate,"Rs 3,05,394  ~ 3 Lacs+",Rs 0  ~,0,0,305394.0,0.0,Graduate,Regional
6528,Sammed Saradar Vardhamane,CHIKKODI,IND,0,Graduate,,,0,0,,,Graduate,Independent
6529,Sampa Guha,KOLKATA UTTAR,Bharatiya Nyay-Adhikar Raksha Party,0,Post Graduate,"Rs 33,28,028  ~ 33 Lacs+",Rs 0  ~,0,0,3328028.0,0.0,Post Graduate,Regional
6530,Sampoorn Anand,GURGAON,Rashtriya Lokswaraj Party,0,12th Pass,"Rs 62,04,627  ~ 62 Lacs+","Rs 6,46,530  ~ 6 Lacs+",0,0,6204627.0,646530.0,12th Pass,Regional
6531,Samrat Ashok Singh Saraswar,BALAGHAT,INC,1,10th Pass,,,1,1,,,10th Pass,National
6532,Samrendra Kumar,DHAURAHRA,IND,0,Post Graduate,"Rs 17,05,000  ~ 17 Lacs+","Rs 2,90,000  ~ 2 Lacs+",0,0,1705000.0,290000.0,Post Graduate,Independent
6533,Samsul Alam,NAGAON,IND,0,Graduate,"Rs 44,50,000  ~ 44 Lacs+","Rs 7,00,000  ~ 7 Lacs+",0,0,4450000.0,700000.0,Graduate,Independent
6534,Samudrala Chinna Kotaiah,GUNTUR,Jaibhim Rao Bharat Party,0,10th Pass,,,0,0,,,10th Pass,Regional
6535,Samuel Lawrence Ponniah,TIRUNELVELI,IND,0,10th Pass,"Rs 64,16,921  ~ 64 Lacs+",Rs 0  ~,0,0,6416921.0,0.0,10th Pass,Independent
6536,Samuel Soni,GURDASPUR,IND,0,Post Graduate,"Rs 97,83,045  ~ 97 Lacs+","Rs 9,71,000  ~ 9 Lacs+",0,0,9783045.0,971000.0,Post Graduate,Independent
6537,Samuel T,THOOTHUKKUDI,IND,0,8th Pass,,,0,0,,,8th Pass,Independent
6538,Samyukta Shivanand Patil,BAGALKOT,INC,0,Graduate Professional,"Rs 3,96,99,839  ~ 3 Crore+","Rs 63,04,680  ~ 63 Lacs+",0,0,39699839.0,6304680.0,Graduate,National
6539,Sanaka Mahato,JAMSHEDPUR,SUCI(C),0,8th Pass,"Rs 3,25,763  ~ 3 Lacs+","Rs 30,000  ~ 30 Thou+",0,0,325763.0,30000.0,8th Pass,Regional
6540,Sanan Ram,PALAMU (SC),Lokhit Adhikar Party,0,10th Pass,,,0,0,,,10th Pass,Regional
6541,Sanapala Sravan Kumar,SRIKAKULAM,IND,0,Graduate,"Rs 5,42,91,939  ~ 5 Crore+","Rs 1,84,29,000  ~ 1 Crore+",0,0,54291939.0,18429000.0,Graduate,Independent
6542,Sanatan Dutta,RAIGANJ,SUCI(C),0,Graduate,"Rs 29,23,847  ~ 29 Lacs+","Rs 9,00,000  ~ 9 Lacs+",0,0,2923847.0,900000.0,Graduate,Regional
6543,Sanatan Pandey,BALLIA,SP,2,Others,,,2,1,,,Other,Regional
6544,Sanatan Rishi,MALDAHA UTTAR,BSP,0,12th Pass,"Rs 28,58,150  ~ 28 Lacs+","Rs 22,00,000  ~ 22 Lacs+",0,0,2858150.0,2200000.0,12th Pass,National
6545,Sanchita Bera,HOOGHLY,IND,0,10th Pass,"Rs 5,30,000  ~ 5 Lacs+",Rs 0  ~,0,0,530000.0,0.0,10th Pass,Independent
6546,Sandeep Babulal Meshram,AMRAVATI (SC),IND,0,Graduate,,,0,0,,,Graduate,Independent
6547,Sandeep Bhau Ramchandra Jadhav,MUMBAI NORTH - CENTRAL,IND,0,Graduate,"Rs 95,000  ~ 95 Thou+",Rs 0  ~,0,0,95000.0,0.0,Graduate,Independent
6548,Sandeep Gundopant Sankpal,KOLHAPUR,IND,0,10th Pass,"Rs 12,57,500  ~ 12 Lacs+","Rs 7,50,000  ~ 7 Lacs+",0,0,1257500.0,750000.0,10th Pass,Independent
6549,Sandeep Kumar,BADAUN,IND,0,12th Pass,,,0,0,,,12th Pass,Independent
6550,Sandeep Lot Valmiki,SIRSA (SC),Indian National Lok Dal,0,Others,"Rs 2,19,76,409  ~ 2 Crore+","Rs 43,41,157  ~ 43 Lacs+",0,0,21976409.0,4341157.0,Other,Regional
6551,Sandeep Ramrao Shelke,BULDHANA,IND,1,Graduate,"Rs 13,07,79,980  ~ 13 Crore+","Rs 1,50,86,753  ~ 1 Crore+",1,1,130779980.0,15086753.0,Graduate,Independent
6552,Sandeep Singh,PRATAPGARH,National Jan Dal,0,12th Pass,,,0,0,,,12th Pass,Regional
6553,Sandesh,DEORIA,BSP,0,Graduate,"Rs 40,90,511  ~ 40 Lacs+",Rs 0  ~,0,0,4090511.0,0.0,Graduate,National
6554,Sandesh Shetty. A,SHIMOGA,IND,0,12th Pass,"Rs 1,44,904  ~ 1 Lacs+",Rs 0  ~,0,0,144904.0,0.0,12th Pass,Independent
6555,Sandesh.G,CHIKKBALLAPUR,IND,1,10th Pass,,,1,1,,,10th Pass,Independent
6556,Sandhya Jaiswal,KHERI,Parivartan Samaj Party,0,Post Graduate,"Rs 5,73,585  ~ 5 Lacs+",Rs 0  ~,0,0,573585.0,0.0,Post Graduate,Regional
6557,Sandhya Ray,BHIND (SC),BJP,0,Post Graduate,"Rs 9,67,72,861  ~ 9 Crore+","Rs 1,14,00,000  ~ 1 Crore+",0,0,96772861.0,11400000.0,Post Graduate,National
6558,Sandhya Thakkar,NEW DELHI,Rashtriya Republican Party,0,Post Graduate,,,0,0,,,Post Graduate,Regional
6559,Sandip Abaji Deokate,BARAMATI,IND,0,Post Graduate,"Rs 4,50,512  ~ 4 Lacs+","Rs 2,73,000  ~ 2 Lacs+",0,0,450512.0,273000.0,Post Graduate,Independent
6560,Sandip Dadarao Mankar,AURANGABAD,IND,0,Graduate,"Rs 1,60,000  ~ 1 Lacs+","Rs 3,75,000  ~ 3 Lacs+",0,0,160000.0,375000.0,Graduate,Independent
6561,Sandip Devidas Jadhav,AURANGABAD,IND,0,Graduate,,,0,0,,,Graduate,Independent
6562,Sandip Kumar,MUZAFFARPUR,Jantantra Awaj Party,0,10th Pass,"Rs 2,70,000  ~ 2 Lacs+",Rs 0  ~,0,0,270000.0,0.0,10th Pass,Regional
6563,Sandip Kumar Dey,BANKURA,IND,1,Post Graduate,"Rs 79,69,111  ~ 79 Lacs+","Rs 28,47,913  ~ 28 Lacs+",1,1,7969111.0,2847913.0,Post Graduate,Independent
6564,Sandip Nath,JADAVPUR,BSP,0,Post Graduate,,,0,0,,,Post Graduate,National
6565,Sandip Sahadeo Meshram,RAMTEK (SC),BSP,1,12th Pass,"Rs 4,20,00,000  ~ 4 Crore+","Rs 60,000  ~ 60 Thou+",1,1,42000000.0,60000.0,12th Pass,National
6566,Sandip Sampat Shinde,YAVATMAL - WASHIM,IND,0,5th Pass,"Rs 90,000  ~ 90 Thou+",Rs 0  ~,0,0,90000.0,0.0,5th Pass,Independent
6567,Sanem Raju Goud,CHEVELLA,Praja Ektha Party,0,Graduate,,,0,0,,,Graduate,Regional
6568,Sangala Flory,SECUNDERABAD,IND,2,Post Graduate,"Rs 1,07,49,133  ~ 1 Crore+",Rs 0  ~,2,1,10749133.0,0.0,Post Graduate,Independent
6569,Sangam Lal Gupta,PRATAPGARH,BJP,2,8th Pass,"Rs 39,49,32,229  ~ 39 Crore+","Rs 1,65,345  ~ 1 Lacs+",2,1,394932229.0,165345.0,8th Pass,National
6570,Sangaraju Nageswara Raju,RAJAMPET,IND,0,Graduate Professional,,,0,0,,,Graduate,Independent
6571,Sangeeta Beniwal,PALI,INC,0,Post Graduate,"Rs 6,87,69,956  ~ 6 Crore+","Rs 73,56,573  ~ 73 Lacs+",0,0,68769956.0,7356573.0,Post Graduate,National
6572,Sangeeta Kumari Singh Deo,BOLANGIR,BJP,1,Graduate,"Rs 67,30,60,630  ~ 67 Crore+","Rs 75,00,000  ~ 75 Lacs+",1,1,673060630.0,7500000.0,Graduate,National
6573,Sangeeta Pattanaik,BHUBANESWAR,Odisha Janata Party,0,Graduate Professional,,,0,0,,,Graduate,Regional
6574,Sangeeta Tomar,FATEHPUR SIKRI,Bharatiya Majdoor Janta Party,0,Literate,"Rs 1,66,80,000  ~ 1 Crore+","Rs 62,708  ~ 62 Thou+",0,0,16680000.0,62708.0,Below 5th,Regional
6575,Sangeeta Vyakantrao Giri,PARBHANI,Swarajya Shakti Sena,0,10th Pass,"Rs 3,00,000  ~ 3 Lacs+",Rs 0  ~,0,0,300000.0,0.0,10th Pass,Regional
6576,Sangeeta Yadav,PHULPUR,Subhashwadi Bhartiya Samajwadi Party (Subhas Party),0,Post Graduate,,,0,0,,,Post Graduate,Regional
6577,Sangeetha R,COIMBATORE,Naadaalum Makkal Katchi,0,10th Pass,"Rs 55,94,457  ~ 55 Lacs+","Rs 20,00,000  ~ 20 Lacs+",0,0,5594457.0,2000000.0,10th Pass,Regional
6578,Sangepaga Sarojanamma,MAHBUBNAGAR,IND,0,Others,"Rs 5,11,201  ~ 5 Lacs+","Rs 2,204  ~ 2 Thou+",0,0,511201.0,2204.0,Other,Independent
6579,Sangita Dinesh Chavhan,YAVATMAL - WASHIM,IND,0,12th Pass,,,0,0,,,12th Pass,Independent
6580,Sangita Ganesh Jadhav,AURANGABAD,IND,0,Literate,"Rs 30,00,000  ~ 30 Lacs+",Rs 0  ~,0,0,3000000.0,0.0,Below 5th,Independent
6581,Sangita Rajvanshi,MISRIKH (SC),SP,0,10th Pass,"Rs 4,96,45,031  ~ 4 Crore+",Rs 0  ~,0,0,49645031.0,0.0,10th Pass,Regional
6582,Sangram Mardi,SINGHBHUM (ST),IND,0,10th Pass,,,0,0,,,10th Pass,Independent
6583,Sangram Rajaram More,SANGLI,IND,0,Graduate,"Rs 29,99,000  ~ 29 Lacs+","Rs 2,30,000  ~ 2 Lacs+",0,0,2999000.0,230000.0,Graduate,Independent
6584,Sangram Singh Yadav,SAGAR,IND,0,5th Pass,"Rs 22,42,000  ~ 22 Lacs+",Rs 0  ~,0,0,2242000.0,0.0,5th Pass,Independent
6585,Sanjana Ram,KOLKATA DAKSHIN,IND,0,Graduate,,,0,0,,,Graduate,Independent
6586,Sanjay,EAST DELHI,Public Political Party,0,12th Pass,"Rs 4,66,683  ~ 4 Lacs+",Rs 0  ~,0,0,466683.0,0.0,12th Pass,Regional
6587,Sanjay,ROHTAK,IND,0,Graduate,"Rs 1,28,78,600  ~ 1 Crore+","Rs 11,16,000  ~ 11 Lacs+",0,0,12878600.0,1116000.0,Graduate,Independent
6588,Sanjay (Kaka) Patil,SANGLI,BJP,1,10th Pass,,,1,1,,,10th Pass,National
6589,Sanjay B. Patil,MUMBAI NORTH - EAST,National Peoples Party,0,5th Pass,"Rs 21,51,688  ~ 21 Lacs+","Rs 35,000  ~ 35 Thou+",0,0,2151688.0,35000.0,5th Pass,Regional
