Sno,Candidate,Constituency,Party,Criminal Case,Education,Total Assets,Liabilities,Criminal_Cases_Count,Has_Criminal_Cases,Assets_Numeric,Liabilities_Numeric,Education_Clean,Party_Type
519,Amudini,CHENNAI NORTH,Naam Tamilar Katchi,0,Graduate Professional,,,0,0,,,Graduate,Regional
520,Amzad Ali,BARPETA,Republican Party of India (Athawale),0,8th Pass,"Rs 3,17,627  ~ 3 Lacs+","Rs 1,07,000  ~ 1 Lacs+",0,0,317627.0,107000.0,8th Pass,Regional
521,Anand Bhadauriya,DHAURAHRA,SP,4,Post Graduate,"Rs 9,97,23,807  ~ 9 Crore+","Rs 9,60,867  ~ 9 Lacs+",4,1,99723807.0,960867.0,Post Graduate,Regional
522,Anand Chandulal Jasti,NARSAPURAM,IND,0,Doctorate,,,0,0,,,Post Graduate,Independent
523,Anand Gilhare,JANJGIR-CHAMPA (SC),IND,0,12th Pass,"Rs 1,08,53,000  ~ 1 Crore+",Rs 0  ~,0,0,10853000.0,0.0,12th Pass,Independent
524,Anand Kumar,GHAZIABAD,Rashtra Nirman Party,0,Doctorate,"Rs 2,32,69,912  ~ 2 Crore+",Rs 0  ~,0,0,23269912.0,0.0,Post Graduate,Regional
525,Anand Kumar,BAHRAICH (SC),BJP,0,Doctorate,,,0,0,,,Post Graduate,National
526,Anand Kumar,SITAMARHI,IND,0,Graduate Professional,"Rs 1,26,49,049  ~ 1 Crore+",Rs 0  ~,0,0,12649049.0,0.0,Graduate,Independent
527,Anand Kumar,BHIWANI-MAHENDRAGARH,Bharatheeya Jawan Kisan Party,0,10th Pass,"Rs 44,19,101  ~ 44 Lacs+",Rs 0  ~,0,0,4419101.0,0.0,10th Pass,Regional
528,Anand Kumar A,KRISHNAGIRI,IND,0,10th Pass,,,0,0,,,10th Pass,Independent
529,Anand Kumar Gautam,SANT KABIR NAGAR,IND,0,Graduate,"Rs 6,93,000  ~ 6 Lacs+",Rs 0  ~,0,0,693000.0,0.0,Graduate,Independent
530,Anand Kumar Parihar,PALI,IND,0,Graduate,"Rs 1,03,28,032  ~ 1 Crore+","Rs 1,00,000  ~ 1 Lacs+",0,0,10328032.0,100000.0,Graduate,Independent
531,Anand Kumar Verma,NAWADA,Bharat Jan Jagran Dal,0,Post Graduate,,,0,0,,,Post Graduate,Regional
532,Anand Kumar Yadav Alias Anand Kumar Fauji,GORAKHPUR,Bharatheeya Jawan Kisan Party,0,Post Graduate,"Rs 52,52,000  ~ 52 Lacs+","Rs 4,00,000  ~ 4 Lacs+",0,0,5252000.0,400000.0,Post Graduate,Regional
533,Anand Mishra,BUXAR,IND,0,Post Graduate,"Rs 2,50,44,394  ~ 2 Crore+",Rs 0  ~,0,0,25044394.0,0.0,Post Graduate,Independent
534,Anand Mukhi,JAMSHEDPUR,IND,0,10th Pass,,,0,0,,,10th Pass,Independent
535,Anand Rajaram Dhule,HINGOLI,IND,0,12th Pass,"Rs 5,96,443  ~ 5 Lacs+","Rs 60,000  ~ 60 Thou+",0,0,596443.0,60000.0,12th Pass,Independent
536,Anand Ramesh Thorwade,SATARA,BSP,0,Graduate,"Rs 4,81,53,000  ~ 4 Crore+","Rs 1,24,17,000  ~ 1 Crore+",0,0,48153000.0,12417000.0,Graduate,National
537,Anand Ramnath Arlekar,ANDAMAN AND NICOBAR ISLANDS,IND,0,10th Pass,,,0,0,,,10th Pass,Independent
538,Anand Selvaraj,TIRUCHIRAPPALLI,IND,1,Post Graduate,"Rs 12,10,000  ~ 12 Lacs+",Rs 0  ~,1,1,1210000.0,0.0,Post Graduate,Independent
539,Anand Shankar Nalage,SANGLI,Baliraja Party,2,12th Pass,"Rs 2,26,260  ~ 2 Lacs+","Rs 3,00,000  ~ 3 Lacs+",2,1,226260.0,300000.0,12th Pass,Regional
540,Anand Sharma,KANGRA,INC,0,Graduate Professional,,,0,0,,,Graduate,National
541,Anand Sinnur,GULBARGA (SC),IND,1,Graduate,"Rs 5,50,000  ~ 5 Lacs+",Rs 0  ~,1,1,550000.0,0.0,Graduate,Independent
542,Anand Urawan,BILASPUR,IND,0,10th Pass,"Rs 72,29,000  ~ 72 Lacs+",Rs 0  ~,0,0,7229000.0,0.0,10th Pass,Independent
543,Ananda Prasad Kasina,KHAMMAM,Pyramid Party of India,0,Others,,,0,0,,,Other,Regional
544,Ananda Sukalal Koli,NANDURBAR (ST),BSP,0,5th Pass,"Rs 5,00,000  ~ 5 Lacs+","Rs 65,700  ~ 65 Thou+",0,0,500000.0,65700.0,5th Pass,National
545,Anandaram Alias Anand Chauhan,JODHPUR,Aazad Samaj Party (Kanshi Ram),3,Literate,"Rs 4,68,500  ~ 4 Lacs+",Rs 0  ~,3,1,468500.0,0.0,Below 5th,Regional
546,Anandbhai Pachanbhai Rathod,SURENDRANAGAR,IND,0,Graduate,,,0,0,,,Graduate,Independent
547,Anandhakumar S,COIMBATORE,Rashtriya Samaj Paksha,0,10th Pass,"Rs 6,06,005  ~ 6 Lacs+",Rs 0  ~,0,0,606005.0,0.0,10th Pass,Regional
548,Anandraj Yashwant Ambedkar,AMRAVATI (SC),Republican Sena,3,Post Graduate,"Rs 5,99,45,326  ~ 5 Crore+",Rs 0  ~,3,1,59945326.0,0.0,Post Graduate,Regional
549,Anandrao Tukaram Thorat,HATKANANGALE,IND,2,Graduate,,,2,1,,,Graduate,Independent
550,Anandrao Vasantrao Sarnaik,HATKANANGALE,IND,2,8th Pass,"Rs 2,14,00,000  ~ 2 Crore+","Rs 20,00,000  ~ 20 Lacs+",2,1,21400000.0,2000000.0,8th Pass,Independent
551,Anant Baloji Gite,RAIGAD,IND,0,8th Pass,"Rs 4,00,768  ~ 4 Lacs+",Rs 0  ~,0,0,400768.0,0.0,8th Pass,Independent
552,Anant Geete,RAIGAD,ShivSena (Uddhav Balasaheb Thackeray),0,10th Pass,,,0,0,,,10th Pass,Regional
553,Anant Padma Gite,RAIGAD,IND,0,8th Pass,"Rs 5,62,000  ~ 5 Lacs+",Rs 0  ~,0,0,562000.0,0.0,8th Pass,Independent
554,Ananta Mohan Roy,SILCHAR (SC),IND,0,12th Pass,"Rs 7,31,500  ~ 7 Lacs+",Rs 0  ~,0,0,731500.0,0.0,12th Pass,Independent
555,Ananta Nayak,KEONJHAR (ST),BJP,1,Others,,,1,1,,,Other,National
556,Ananta Prasad Sethi,BHADRAK (SC),INC,1,Graduate,"Rs 1,08,71,000  ~ 1 Crore+",Rs 0  ~,1,1,10871000.0,0.0,Graduate,National
557,Anantkumar Hasmukhbhai Patel,VALSAD (ST),INC,4,Post Graduate,"Rs 1,92,00,000  ~ 1 Crore+","Rs 12,75,000  ~ 12 Lacs+",4,1,19200000.0,1275000.0,Post Graduate,National
558,Anbazhagan. T,KARUR,IND,0,Graduate Professional,,,0,0,,,Graduate,Independent
559,Anbazhagan.G,CHENNAI CENTRAL,IND,0,Post Graduate,"Rs 39,91,637  ~ 39 Lacs+",Rs 0  ~,0,0,3991637.0,0.0,Post Graduate,Independent
560,Anbhuguru V,NILGIRIS (SC),IND,0,10th Pass,"Rs 1,40,500  ~ 1 Lacs+",Rs 0  ~,0,0,140500.0,0.0,10th Pass,Independent
561,Anburose D,DINDIGUL,IND,0,5th Pass,,,0,0,,,5th Pass,Independent
562,Anchal Das,JAJPUR (SC),INC,0,Graduate Professional,"Rs 1,26,41,398  ~ 1 Crore+","Rs 9,85,263  ~ 9 Lacs+",0,0,12641398.0,985263.0,Graduate,National
563,Ande Usha Kanna,HYDERABAD,Bahujan Mukti Party,0,Graduate,"Rs 19,08,500  ~ 19 Lacs+","Rs 2,49,000  ~ 2 Lacs+",0,0,1908500.0,249000.0,Graduate,Regional
564,Andhalkar Bhausaheb Raosaheb,OSMANABAD,Vanchit Bahujan Aaghadi,11,Graduate,,,11,1,,,Graduate,Regional
565,Andhari Anjaiah,MAHBUBNAGAR,IND,1,Post Graduate,"Rs 1,55,51,799  ~ 1 Crore+","Rs 32,92,443  ~ 32 Lacs+",1,1,15551799.0,3292443.0,Post Graduate,Independent
566,Andrapu Sudarshan,SECUNDERABAD,IND,0,Graduate,"Rs 5,000  ~ 5 Thou+",Rs 0  ~,0,0,5000.0,0.0,Graduate,Independent
567,Andukuri Vijaya Bhaskar,VISAKHAPATNAM,India Praja Bandhu Party,0,Graduate Professional,,,0,0,,,Graduate,Regional
568,Aneesh Payyannur,KASARAGOD,IND,3,10th Pass,"Rs 11,93,520  ~ 11 Lacs+","Rs 1,13,000  ~ 1 Lacs+",3,1,1193520.0,113000.0,10th Pass,Independent
569,Aneesur Rahman,MAHBUBNAGAR,Bahujan Mukti Party,0,Post Graduate,"Rs 64,70,337  ~ 64 Lacs+",Rs 0  ~,0,0,6470337.0,0.0,Post Graduate,Regional
570,Aneeta,BHARATPUR (SC),IND,0,Others,,,0,0,,,Other,Independent
571,Angad Mahato,JAMSHEDPUR,Amra Bangalee,0,10th Pass,"Rs 35,01,000  ~ 35 Lacs+",Rs 0  ~,0,0,3501000.0,0.0,10th Pass,Regional
572,Angomcha Bimol Akoijam,INNER MANIPUR,INC,0,Doctorate,"Rs 97,67,556  ~ 97 Lacs+","Rs 34,84,121  ~ 34 Lacs+",0,0,9767556.0,3484121.0,Post Graduate,National
573,Angshudhar Mandal,MALDAHA DAKSHIN,SUCI(C),0,Graduate,,,0,0,,,Graduate,Regional
574,Anguchamy M,DINDIGUL,IND,0,8th Pass,"Rs 39,79,703  ~ 39 Lacs+",Rs 0  ~,0,0,3979703.0,0.0,8th Pass,Independent
575,Aniket Raj,VAISHALI,Rashtriya Samaj Paksha,0,Graduate,"Rs 8,07,130  ~ 8 Lacs+","Rs 2,98,231  ~ 2 Lacs+",0,0,807130.0,298231.0,Graduate,Regional
576,Anil,UJJAIN (SC),IND,0,12th Pass,,,0,0,,,12th Pass,Independent
577,Anil,RAJGARH,IND,0,12th Pass,"Rs 20,000  ~ 20 Thou+",Rs 0  ~,0,0,20000.0,0.0,12th Pass,Independent
578,Anil Baluni,GARHWAL,BJP,0,Graduate,"Rs 3,77,98,791  ~ 3 Crore+",Rs 0  ~,0,0,37798791.0,0.0,Graduate,National
