Sno,Candidate,Constituency,Party,Criminal Case,Education,Total Assets,Liabilities
5390,Prakash Rathor Banjara,KHANDWA,Aam Janta Party (India),3,5th Pass,"Rs 1,40,25,800  ~ 1 Crore+","Rs 93,00,000  ~ 93 Lacs+"
5391,Prakash Reddy Ralampadu,KURNOOL,IND,0,Graduate,,
5392,Prakash Robert G,CHENNAI SOUTH,BSP,0,Graduate,"Rs 8,42,800  ~ 8 Lacs+","Rs 5,64,639  ~ 5 Lacs+"
5393,Prakash S,ATTINGAL,IND,0,10th Pass,"Rs 93,79,411  ~ 93 Lacs+",Rs 0  ~
5394,Prakash Shivajirao Shendge,SANGLI,IND,1,Post Graduate,,
5395,Prakash Soni,HAZARIBAGH,Bhartiya Azad Sena,0,10th Pass,"Rs 2,80,000  ~ 2 Lacs+",Rs 0  ~
5396,Prakash Sukhadeo Jamdhade,SHIRUR,IND,1,Graduate,"Rs 84,11,066  ~ 84 Lacs+",Rs 0  ~
5397,Prakash. K,BANGALORE CENTRAL,Karnataka Rashtra Samithi,0,Graduate,,
5398,Prakash. R.A. Jain,TUMKUR,IND,0,Graduate Professional,Nil,Rs 0  ~
5399,Pralhad Joshi,DHARWAD,BJP,0,Graduate,"Rs 21,09,60,953  ~ 21 Crore+","Rs 8,01,23,332  ~ 8 Crore+"
5400,Prameela Jannu,WARANGAL (SC),IND,0,10th Pass,,
5401,Pramila Pujari,KORAPUT (ST),SUCI(C),0,Graduate,"Rs 20,625  ~ 20 Thou+",Rs 0  ~
5402,Pramod Anandrao Dhumal,THANE,IND,0,10th Pass,"Rs 70,000  ~ 70 Thou+",Rs 0  ~
5403,Pramod Azad,BANDA,Apna Dal (Kamerawadi),3,Graduate,,
5404,Pramod Bhai Patel Alias P.K.,PILIBHIT,IND,0,Graduate Professional,"Rs 15,00,000  ~ 15 Lacs+",Rs 0  ~
5405,Pramod Bhai Patel Urf P K,PHULPUR,Sardar Patel Siddhant Party,0,Graduate Professional,"Rs 31,98,000  ~ 31 Lacs+",Rs 0  ~
5406,Pramod Kumar,PRATAPGARH,IND,0,Graduate,,
5407,Pramod Kumar,BASTI,IND,0,Graduate,"Rs 80,96,237  ~ 80 Lacs+","Rs 14,54,891  ~ 14 Lacs+"
5408,Pramod Kumar,SIWAN,IND,0,12th Pass,"Rs 66,000  ~ 66 Thou+",Rs 0  ~
